transaction_id,customer_id,product_id,quantity,total_amount,date,hour
T0592,C046,P024,3,105,2023-12-18,18
T0591,C046,P037,3,195,2024-12-16,13
T0599,C047,P023,2,90,2021-05-20,12
T0601,C047,P044,3,255,2021-06-02,12
T0597,C047,P045,3,660,2021-08-31,14
T0598,C047,P025,3,450,2021-12-13,13
T0595,C047,P045,3,660,2022-05-08,19
T0602,C047,P013,3,360,2022-08-20,17
T0596,C047,P042,1,240,2023-03-20,15
T0600,C047,P041,2,360,2024-11-27,16
T0605,C048,P004,1,450,2022-07-21,15
T0608,C048,P026,1,45,2022-12-28,13
T0606,C048,P032,2,190,2023-08-27,14
T0607,C048,P026,3,135,2024-04-28,13
T0604,C048,P043,3,1050,2024-05-09,11
T0603,C048,P041,3,540,2024-07-09,14
T0609,C048,P021,3,195,2024-10-31,13
T0616,C049,P042,3,720,2019-01-28,17
T0610,C049,P020,1,25,2019-04-10,15
T0615,C049,P010,1,280,2019-07-02,12
T0613,C049,P024,1,35,2019-11-01,12
T0612,C049,P035,3,225,2021-02-06,13
T0614,C049,P040,2,90,2023-10-09,13
T0611,C049,P040,3,135,2024-05-07,17
T0620,C050,P020,2,50,2020-07-14,16
T0618,C050,P045,1,220,2021-01-18,14
T0622,C050,P020,2,50,2022-01-15,14
T0619,C050,P040,3,135,2022-10-14,7
T0621,C050,P042,2,480,2022-11-19,19
T0623,C050,P020,2,50,2023-03-15,18
T0617,C050,P041,2,360,2024-05-28,18
